% filename, controller, battery life
tests/2024-06-25-ps5-dualsense-pixel-6-test-1.txt, PS5 CFI-ZCT1W, 8
tests/2024-06-25-xbox-1708-pixel-6-test-1.txt, Xbox Wireless (1708), 30
