% filename, controller, battery life
tests/2024-06-26-ps5-dualsense-iphone-14-plus-test-1.txt, PS5 CFI-ZCT1W, 8
tests/2024-06-26-xbox-1708-iphone-14-plus-test-1.txt, Xbox Wireless (1708), 30
